Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract
Hibi W.,"Hibi, Wafiq (57413744400)",57413744400,Using Smart Applications to Develop Mathematical Concepts among Fourth Grade Students with Arithmetic Learning Difficulties,2025,"International Journal of Science, Mathematics and Technology Learning",32,1,,1,28,27,10.18848/2327-7971/CGP/v32i01/1-28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198231230&doi=10.18848%2f2327-7971%2fCGP%2fv32i01%2f1-28&partnerID=40&md5=2a8ad22fe6d7d745658910a02e81b57d,"This study aimed to evaluate the impact of smart mathematical applications on the acquisition of mathematical concepts by fourth-grade students in regular primary schools within the Arab sector of Israel who experience arithmetic learning difficulties. The research sample comprised fifty fourth-grade students, randomly selected from five primary schools during the academic year 2022–2023 and divided into experimental and control groups. A test to assess mathematical concepts was developed, alongside a smart mathematical application designed to assist students facing challenges in addition, subtraction, multiplication, division, estimation, and developing numerical sense. A t-test was conducted to compare the two independent samples. The study confirmed the reliability of the research tools, and results indicated a statistically significant improvement in the mathematical concept acquisition of the experimental group. The findings suggest that smart mathematical applications can be an effective intervention for enhancing the acquisition of mathematical concepts and improving mathematics learning outcomes among students with arithmetic learning difficulties. We advocate for the adoption and further research of this method across disciplines, particularly for students with learning disabilities, to universally enhance educational outcomes. © 2025 Common Ground Research Networks. All rights reserved."
Lodder J.,"Lodder, Jerry (7102886244)",7102886244,The Figurate Numbers: From Verbal Expression to Algebraic Symbolism,2025,Mathematics Enthusiast,22,01-Feb,,45,80,35,10.54870/1551-3440.1651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199321923&doi=10.54870%2f1551-3440.1651&partnerID=40&md5=7e18e469ed1d2e24f448a5bd161103ef,"We study the historical development of the figurate numbers, from ancient Greece through Pierre de Fermat to the work of Blaise Pascal, examining key passages for the construction and computation of the figurate numbers as well as their use in enumerating combinations. To assist in a transition to algebraic equivalents of these verbal passages, we introduce tools from transformational grammar to rewrite the surface structure of certain sentences in terms of more streamlined sentences amenable to algebraic formation. These linguistic techniques allow for the identification of key nouns that become single algebraic symbols, while other linguistic rules show how these nouns are modified either by algebraic operations or by the inclusion of modern-day subscripts. The material can be adapted for a number of undergraduate mathematics classroom settings, e.g., general education courses, college algebra, discrete mathematics. © The Author(s) & Dept. of Mathematical Sciences – The University of Montana"
Hu H.-W.; Sasse G.,"Hu, Hsing-Wen (56198554600); Sasse, Grant (57208229948)",56198554600; 57208229948,Investigation of Newly Graduated High School Math Teachers’ TPACK Competence and Levels through Supportive Workshops,2025,"International Journal of Science, Mathematics and Technology Learning",32,1,,53,82,29,10.18848/2327-7971/CGP/v32i01/53-82,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198259794&doi=10.18848%2f2327-7971%2fCGP%2fv32i01%2f53-82&partnerID=40&md5=34d24d612208b3c67a79e0b0714eabe2,"The study aims to examine three newly graduated high school mathematics teachers’ TPACK competence and levels after they received TPACK workshops. A pre-survey and a post-survey were conducted to evaluate participants’ growth in their TPACK competence. In order to investigate participants’ TPACK levels and the variation of TPACK levels among participants, this study utilized four dimensions of TPACK integration into teaching and two dimensions of TPACK performance to collect and organize data. The study found that a supportive TPACK workshop positively impacted participants’ TPACK competence and indirectly influenced participants’ awareness of TPACK levels. © 2025 Common Ground Research Networks. All rights reserved."
Jiang C.; Yang J.; Peng X.; Li X.,"Jiang, Cong (59232006900); Yang, Jian (57192455685); Peng, Xiaogang (24822529300); Li, Xiaozheng (57221401105)",59232006900; 57192455685; 24822529300; 57221401105,A permutable MLP-like architecture for disease prediction from gut metagenomic data,2024,BMC Bioinformatics,25,1,246,,,,10.1186/s12859-024-05856-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199431613&doi=10.1186%2fs12859-024-05856-w&partnerID=40&md5=96dd16d772720fd58cfe011c8b13fce0,"Metagenomic data plays a crucial role in analyzing the relationship between microbes and diseases. However, the limited number of samples, high dimensionality, and sparsity of metagenomic data pose significant challenges for the application of deep learning in data classification and prediction. Previous studies have shown that utilizing the phylogenetic tree structure to transform metagenomic abundance data into a 2D matrix input for convolutional neural networks (CNNs) improves classification performance. Inspired by the success of a Permutable MLP-like architecture in visual recognition, we propose Metagenomic Permutator (MetaP), which applied the Permutable MLP-like network structure to capture the phylogenetic information of microbes within the 2D matrix formed by phylogenetic tree. Our experiments demonstrate that our model achieved competitive performance compared to other deep neural networks and traditional machine learning, and has good prospects for multi-classification and large sample sizes. Furthermore, we utilize the SHAP (SHapley Additive exPlanations) method to interpret our model predictions, identifying the microbial features that are associated with diseases. © The Author(s) 2024."
Duffee A.,"Duffee, Anne (59231205600)",59231205600,From Geometric Intuition to Arithmetical Rigor: Teaching Analysis with Bolzano’s Original Text,2025,Mathematics Enthusiast,22,01-Feb,,81,94,13,10.54870/1551-3440.1652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199372906&doi=10.54870%2f1551-3440.1652&partnerID=40&md5=edfe918aa9b5bbc021c761d177a69910,"In this paper I argue for the value of reading primary historical texts in mathematics courses. In particular, I show how close readings of Bolzano’s 1817 paper on the Intermediate Value Theorem in an introductory analysis course helps students understand the working use of fundamental analytic concepts and problems. I further argue that the philosophical purpose of reading primary texts is the “desedimentation” of knowledge, a process through which students come to understand the origins of mathematical concepts as solutions to historical problems. © The Author(s) & Dept. of Mathematical Sciences – The University of Montana"
Fome A.D.; Bock W.; Klar A.,"Fome, Anna Daniel (58242106500); Bock, Wolfgang (57200853949); Klar, Axel (56262955000)",58242106500; 57200853949; 56262955000,Analysis of a competitive respiratory disease system with quarantine: Epidemic thresholds and cross-immunity effects,2025,Applied Mathematics and Computation,485,,128968,,,,10.1016/j.amc.2024.128968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200810576&doi=10.1016%2fj.amc.2024.128968&partnerID=40&md5=c71aa2a347d03aea12542b8b24862452,"Our study investigates the dynamics of disease interaction and persistence within populations, exploring various epidemic scenarios, including backward bifurcation and cross-immunity effects. We establish conditions under which the disease-free equilibrium of the model demonstrates local or global asymptotic stability, contingent on the efficacy of quarantine measures. Notably, we find that a strain with a quarantine reproduction number greater than 1 will out-compete a strain with a quarantine reproduction number less than 1, leading to its extinction under complete immunity conditions. Additionally, we identify scenarios where diseases persist in a sub-critical coexistence endemic equilibrium, despite one control reproduction number being below one. Our exploration of backward bifurcation reveals the model's capacity to accommodate the coexistence of the disease-free equilibrium with up to four endemic equilibria. Moreover, we demonstrate that the existence of cross-immunity enhances the coexistence of two strains. However, co-infections and imperfect quarantine measures pose significant challenges in containing outbreaks, sustaining the outbreak potential even with successful control of individual virus strains. Conversely, controlling outbreaks becomes more manageable in the absence of co-infections, especially with perfect quarantine measures. We conclude by advocating for public health strategies that address the complexities posed by co-infections, emphasizing the importance of simultaneously tackling multiple pathogens. © 2024 The Author(s)"
Alngar M.E.M.; Shohib R.M.A.; Arnous A.H.; Biswas A.; Yıldırım Y.; Jawad A.J.M.; Alshomrani A.S.,"Alngar, Mohamed E.M. (57202253982); Shohib, Reham M.A. (56276545600); Arnous, Ahmed H. (57195299458); Biswas, Anjan (7202059726); Yıldırım, Yakup (56988856400); Jawad, Anwar Jaafar Mohamad (57837821600); Alshomrani, Ali Saleh (56901415600)",57202253982; 56276545600; 57195299458; 7202059726; 56988856400; 57837821600; 56901415600,OPTICAL SOLITON PARAMETER DYNAMICS BY VARIATIONAL PRINCIPLE: PARABOLIC AND DUAL–POWER LAWS (SUPER–GAUSSIAN AND SUPER–SECH PULSES),2025,Journal of Applied Science and Engineering,28,4,,821,840,19,10.6180/jase.202504_28(4).0014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197348292&doi=10.6180%2fjase.202504_28%284%29.0014&partnerID=40&md5=f34d4c45cc6ff297b4f479a8823d2309,"The current paper retrieves the optical soliton parameter dynamics that is considered with parabolic and dual—power laws of self—phase modulation structures. With linear chromatic dispersion and linear temporal evolution, the variational principle recovered the dynamical system of soliton parameters. Two specific forms of optical solitons are addressed in the paper which are super—Gaussian and super—sech pulses. These typically model RZ and NRZ types of pulses considered in telecommunications engineering. The special cases are naturally revealed when the parameter dictating the generalized nonlinearity is set to unity. The issue of soliton radiation has been tacitly disregarded to keep mathematics simple. The perturbation terms are also taken into account and the extended version of the Euler—Lagrange’s equation displays the extended dynamical system of these soliton parameters. The results naturally involved a range of special functions. © The Author(’s)."
Silva Mangiante E.M.; Gabriele-Black K.A.,"Silva Mangiante, Elaine M. (15760289400); Gabriele-Black, Kaitlin A. (57212271887)",15760289400; 57212271887,Elementary Preservice Teachers’ Coding and Perceptions of Questions Posed during Mathematics Practicum Lessons,2024,"International Journal of Science, Mathematics and Technology Learning",31,2,,1,21,20,10.18848/2327-7971/CGP/v31i02/1-21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192712082&doi=10.18848%2f2327-7971%2fCGP%2fv31i02%2f1-21&partnerID=40&md5=855e29497ef14b04a60753a5e5fb8b02,"Teacher education programs adopted alternative practicum field experiences for preservice teachers (PSTs) during the COVID-19 pandemic when school placements were not available. One approach was for PSTs to teach each other, video-record their teaching, and code types of questions asked by the teachers. For a mathematics practicum, PSTs coded questions in two broad categories with four question types: lower-order questions that elicited (a) yes/no response or (b) one-word/short-answer responses; and higher-order questions that prompted students to (c) explain a mathematical concept or their chosen strategy and (d) give reasons for their strategy choice. This mixed-methods study examined data from PSTs’ coding of their peers’ questions posed during fourth-grade mathematics lessons, comparing it with the teacher educator’s coding of the same questions. In addition, PSTs’ lesson reflections served as a data source for triangulation as well as a means to analyze PSTs’ learning from this task. The results indicated that PSTs coded questions more often as higher order than the teacher educator. The findings also revealed the PSTs’ tendency to ask lower-order questions to gather recall or procedural information from students more than higher-order questions that probed students for an explanation or justification of their chosen strategies to solve a problem. Furthermore, the PSTs’ reflections on the coding task showed that PSTs were not only surprised that so many posed questions were lower-order, but also felt that coding questions increased their awareness of question quality. Recommendations suggest approaches that can be incorporated into teacher education programs to develop PSTs’ questioning skills. © 2024 Common Ground Research Networks. All rights reserved."
Baralić D.; Ivanović J.; Petrić Z.,"Baralić, Dj. (54924606300); Ivanović, J. (57206248349); Petrić, Z. (6506425547)",54924606300; 57206248349; 6506425547,Chromatic numbers for facet colouring of some generalised associahedra,2024,Discrete Applied Mathematics,358,,,272,284,12,10.1016/j.dam.2024.07.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199493444&doi=10.1016%2fj.dam.2024.07.013&partnerID=40&md5=35613caaca1b2ad83f36989e90c8ef36,"The chromatic number related to a colouring of facets of certain classes of generalised associahedra is studied. The exact values are obtained for permutohedra, associahedra and simple permutoassociahedra, while lower and upper bounds are established for cyclohedra and stellohedra. The asymptotic values of the chromatic numbers for associahedra, cyclohedra and simple permutoassociahedra are given. © 2024 Elsevier B.V."
Davis T.,"Davis, Tara (36536670600)",36536670600,Team Teaching with Primary Historical Sources,2025,Mathematics Enthusiast,22,01-Feb,,29,44,15,10.54870/1551-3440.1650,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199397295&doi=10.54870%2f1551-3440.1650&partnerID=40&md5=d219eeb1ba16b47eb8995a76d4eeab1c,"This article describes experiences involving team teaching using primary source projects. Both educational techniques are important on their own, and the novelty introduced is using them together. Both interdisciplinary and disciplinary courses were taught, so this article may be of interest to those teaching liberal arts, general education, or pure mathematics. Impacts on student learning and instructor professional development will be described, as well as challenges and benefits. © The Author(s) & Dept. of Mathematical Sciences – The University of Montana"
Sultan H.M.; Menesy A.S.; Korashy A.; Hussien A.G.; Kamel S.,"Sultan, Hamdy M. (59171422400); Menesy, Ahmed S. (57214365402); Korashy, Ahmed (57204321780); Hussien, Abdelazim G. (57202049920); Kamel, Salah (36782335000)",59171422400; 57214365402; 57204321780; 57202049920; 36782335000,Enhancing parameter identification for proton exchange membrane fuel cell using modified manta ray foraging optimization,2024,Energy Reports,12,,,1987,2013,26,10.1016/j.egyr.2024.07.063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201066170&doi=10.1016%2fj.egyr.2024.07.063&partnerID=40&md5=f341503bdce3de54cd0197c099b59960,"In this paper, an accurate model of proton exchange membrane fuel cell (PEMFC) for optimal identification of PEMFC parameters has been developed. The optimization methodology is based on the modified version of Manta Ray Foraging Optimization (MMRFO) technique for minimizing the sum of squared errors (SSE) between the Experimentally measured stack voltage and the estimated voltage produced by the optimized model. In the modified methodology, the sine-cosine method has been utilized to enhance the global searching capability in the exploration phase and the local searching capability in the exploitation phase of the MRFO algorithm. In order to validate the effectiveness of the suggested methodology, four different case studies comprising standard benchmark 250 W PEMFC, BCS-500 W PEMFC, SR-12 500 W FC, and 1 kW Temasek stacks were utilized, and the attainments have been compared with the measured polarization characteristics. The attainments have been intensively compared with several metaheuristic algorithms (MA) including Tree growth Algorithm (TGA), Grey wolf optimizer (GWO), Whale optimization algorithm (WOA), Salp swarm algorithm (SSA), and original Manta Ray Foraging Optimization (MRFO), to confirm the superiority of the MMRFO against the compared techniques. The obtained results give a satisfactory agreement between the MMRFO-based model and the experimentally measured data. Finally, the achievements confirmed the effectiveness of the MMRFO over the basic MRFO algorithm and other novel metaheuristic algorithms in identifying PEMFC parameters. © 2024 The Authors"
